Gen. budget,Transm. Budget,Tax,Incentive,obj_value,investments
large,large,large,large,1113649475.72,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
large,large,large,small,1110809439.48,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
large,large,small,large,1113649475.72,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
large ,large,small,small,1110809439.48,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
large,small,large,large,1113649475.72,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
large,small,large,small,1110809439.48,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
large,small,small,large,1113649475.72,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
large,small,small,small,1110809439.48,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
small,large,large,large,1089713834.40,"(0, 0, 3000, 0, 0, 9000, 0, 9000, 0, 3000)"
small,large,large,small,1082939453.81,"(0, 0, 3000, 0, 0, 3000, 0, 9000, 0, 3000)"
small,large,small,large,1089713834.40,"(0, 0, 3000, 0, 0, 9000, 0, 9000, 0, 3000)"
small,large,small,small,1082939453.81,"(0, 0, 3000, 0, 0, 3000, 0, 9000, 0, 3000)"
small,small,large,large,1089713834.40,"(0, 0, 3000, 0, 0, 9000, 0, 9000, 0, 3000)"
small,small,large,small,1082939453.81,"(0, 0, 3000, 0, 0, 3000, 0, 9000, 0, 3000)"
small,small,small,large,1089713834.40,"(0, 0, 3000, 0, 0, 9000, 0, 9000, 0, 3000)"
small,small,small,small,1082939453.81,"(0, 0, 3000, 0, 0, 3000, 0, 9000, 0, 3000)"
,,,,,